mileage_km,engine_temp_c,rpm,vibration_level,oil_quality_pct,brake_pad_mm,battery_voltage,coolant_level_pct,vehicle_age_years,failure_risk
83779.0,99.4,1270.0,0.0395,92.1,7.29,13.31,86.6,5.4,0
52306.0,76.0,967.0,0.0653,79.3,9.73,14.34,54.3,1.9,0
48380.0,94.5,761.0,0.002,81.2,10.24,12.52,97.0,3.7,1
48381.0,92.3,3589.0,0.0311,97.6,10.35,12.08,99.1,3.5,0
162740.0,104.4,1244.0,0.0299,67.1,4.53,12.49,100.0,10.1,0
100335.0,90.4,1979.0,0.0219,89.2,5.86,12.91,90.5,6.7,0
39588.0,88.8,2242.0,0.1355,100.0,10.58,11.93,78.0,3.3,0
86444.0,83.3,2283.0,0.0277,81.1,7.58,12.44,76.3,4.1,0
69964.0,107.9,2635.0,0.0742,81.9,9.21,11.25,84.0,3.6,0
7557.0,61.7,2164.0,0.0087,87.7,10.26,13.27,96.4,0.2,0
23493.0,96.1,1882.0,0.0209,80.7,9.94,13.14,97.8,1.6,0
73716.0,89.8,2354.0,0.0719,78.1,7.59,11.33,71.1,4.9,0
152781.0,87.8,2347.0,0.0598,48.5,6.44,12.94,82.1,10.9,0
48715.0,86.0,2235.0,0.0249,99.8,10.08,12.03,100.0,3.6,0
37031.0,89.3,2649.0,0.0344,88.6,9.52,13.24,89.6,3.0,0
63490.0,95.7,1762.0,0.0527,84.6,8.48,12.75,78.5,3.1,0
35185.0,80.5,2059.0,0.0463,98.3,9.14,11.82,67.6,2.5,0
46121.0,91.6,1272.0,0.0055,90.4,9.11,12.06,68.1,2.8,0
57726.0,94.2,2029.0,0.0225,72.2,9.2,13.39,66.6,5.0,0
22405.0,78.6,1753.0,0.0123,90.5,10.45,13.02,76.8,1.6,0
103952.0,96.0,2939.0,0.0152,65.5,7.01,11.87,89.7,6.4,0
18731.0,94.3,1176.0,0.0093,100.0,11.0,12.55,69.8,1.9,0
16548.0,80.4,1867.0,0.1615,96.3,10.69,12.35,85.8,1.6,0
67688.0,75.7,1833.0,0.0174,80.9,6.62,12.01,88.2,3.9,0
98467.0,80.3,2670.0,0.0503,75.2,6.72,12.27,100.0,6.3,0
66424.0,91.6,1307.0,0.0856,81.5,7.91,13.07,100.0,4.2,0
53262.0,89.1,2203.0,0.1188,79.5,9.16,11.27,90.0,4.5,0
45758.0,106.7,2255.0,0.0057,84.5,11.1,12.66,94.1,3.2,0
39897.0,85.6,2847.0,0.021,82.5,10.69,12.52,80.6,3.2,0
120323.0,79.3,1602.0,0.0844,73.0,5.42,12.75,90.6,7.6,0
74237.0,97.9,1285.0,0.0392,87.5,7.78,12.08,78.3,5.2,0
42606.0,78.2,2533.0,0.066,79.2,9.83,12.48,73.2,3.9,0
32781.0,80.5,1224.0,0.0181,100.0,9.82,12.05,81.3,1.9,0
90567.0,80.7,1834.0,0.0896,87.2,8.58,12.69,100.0,6.1,0
118420.0,60.0,2033.0,0.0695,60.6,7.06,12.24,95.7,6.8,0
111342.0,96.8,2631.0,0.0033,71.8,5.42,13.38,87.8,6.8,0
28037.0,101.3,1121.0,0.0148,85.3,12.0,12.49,50.2,1.6,0
45447.0,101.0,1993.0,0.0213,82.8,10.52,12.16,68.5,2.2,0
39250.0,112.6,2218.0,0.0102,71.1,9.82,10.75,67.6,3.7,0
50340.0,108.1,1597.0,0.0016,67.1,10.11,12.74,71.2,2.7,0
103288.0,86.0,1950.0,0.0815,72.8,6.46,11.47,84.3,7.5,0
143579.0,103.3,2822.0,0.0091,67.9,4.38,12.83,76.7,9.7,0
76247.0,88.8,1845.0,0.0129,74.7,7.3,12.56,100.0,5.1,0
33770.0,84.9,1945.0,0.0234,89.0,12.0,11.89,81.7,3.4,0
56729.0,80.9,2820.0,0.0018,86.6,7.95,12.52,83.5,2.0,0
161439.0,86.8,2047.0,0.0217,71.2,3.32,11.54,97.0,10.6,0
62356.0,93.9,3137.0,0.0228,89.1,9.29,12.01,84.1,3.3,0
